,sentence1,label1,sentence2,label2,dist,match,sub
1867,All the students who the papers which they submitted were lousy I'm not going to allow to register next term.,1,Didn't that guy who the Game Warden and him had seen a flying saucer crack up?,1,0.4064171122994652,1,1
1868,Didn't that guy who the Game Warden and him had seen a flying saucer crack up?,1,Palmer is a guy who for for him to stay in school would be stupid.,1,0.4444444444444444,1,1
1869,Palmer is a guy who for for him to stay in school would be stupid.,1,King Kong is a movie which you'll laugh yourself sick if you see it.,1,0.4029850746268657,1,1
1870,King Kong is a movie which you'll laugh yourself sick if you see it.,1,"Enrico, who is the smartest of us all, got the answer in seven seconds.",1,0.41726618705035967,1,1
1871,"Enrico, who is the smartest of us all, got the answer in seven seconds.",1,"Enrico, and he is the smartest of us all, got the answer in seven seconds.",1,0.9517241379310345,1,1
1872,"Enrico, and he is the smartest of us all, got the answer in seven seconds.",1,"Any student, who wears socks, is a swinger.",0,0.3931623931623932,0,1
1873,"Any student, who wears socks, is a swinger.",0,"No student, who wears socks, is a swinger.",0,0.9411764705882353,1,1
1874,"No student, who wears socks, is a swinger.",0,"Every student, who wears socks, is a swinger.",0,0.9195402298850575,1,1
1875,"Every student, who wears socks, is a swinger.",0,"Any student, and he wears socks, is a swinger.",0,0.8571428571428572,1,1
1876,"Any student, and he wears socks, is a swinger.",0,"No student, and he wears socks, is a swinger.",0,0.945054945054945,1,1
1877,"No student, and he wears socks, is a swinger.",0,"Is even Clarence, who is wearing mauve socks, a swinger?",1,0.594059405940594,0,1
1878,"Is even Clarence, who is wearing mauve socks, a swinger?",1,Seven pine trees are behind that barn.,1,0.4042553191489362,1,1
1879,Seven pine trees are behind that barn.,1,There are seven pine trees behind that barn.,1,0.8048780487804879,1,1
1880,There are seven pine trees behind that barn.,1,That barn has seven pine trees behind it.,1,0.7529411764705882,1,1
1881,That barn has seven pine trees behind it.,1,There will be a hole in Jack's pocket.,1,0.430379746835443,1,1
1882,There will be a hole in Jack's pocket.,1,There will be the hole in Jack's pocket.,0,0.9487179487179487,0,1
1883,There will be the hole in Jack's pocket.,0,Jack will have a hole in his pocket.,1,0.6842105263157895,0,1
1884,Jack will have a hole in his pocket.,1,That barn has seven pine trees behind itself.,0,0.4444444444444444,0,1
1885,That barn has seven pine trees behind itself.,0,That barn has seven pine trees behind the cow.,0,0.9010989010989011,1,1
1886,That barn has seven pine trees behind the cow.,0,Jack's pocket will have a hole in it.,1,0.40963855421686746,0,1
1887,Jack's pocket will have a hole in it.,1,There is a hole in John's quilt's upper right-hand corner.,0,0.35789473684210527,0,1
1888,There is a hole in John's quilt's upper right-hand corner.,0,John's quilt's upper right-hand corner has a hole.,0,0.7222222222222222,1,1
1889,John's quilt's upper right-hand corner has a hole.,0,John's quilt has a hole in its upper right-hand corner.,1,0.7238095238095238,0,1
1890,John's quilt has a hole in its upper right-hand corner.,1,John has a hole in his quilt's upper right-hand corner.,0,0.8545454545454545,0,1
1891,John has a hole in his quilt's upper right-hand corner.,0,John has a hole in the upper right-hand corner of his quilt.,1,0.782608695652174,0,1
1892,John has a hole in the upper right-hand corner of his quilt.,1,There are seven holes in the door and window.,1,0.49523809523809526,1,1
1893,There are seven holes in the door and window.,1,The door has seven holes in it and the window.,0,0.7692307692307692,0,1
1894,The door has seven holes in it and the window.,0,There is a blemish on the end of Jerry's sister's nose.,1,0.49504950495049505,0,1
1895,There is a blemish on the end of Jerry's sister's nose.,1,Jerry has a blemish on the end of his sister's nose.,0,0.8411214953271028,0,1
1896,Jerry has a blemish on the end of his sister's nose.,0,Jerry's sister has a blemish on the end of her nose.,1,0.8269230769230769,0,1
1897,Jerry's sister has a blemish on the end of her nose.,1,There is a hole in the rug which Toby bought in Boston.,1,0.485981308411215,1,1
1898,There is a hole in the rug which Toby bought in Boston.,1,There was an error in the proof Johns presented.,1,0.5631067961165048,1,1
1899,There was an error in the proof Johns presented.,1,There was a snake behind the car Fred was sitting in.,1,0.5544554455445545,1,1
1900,There was a snake behind the car Fred was sitting in.,1,John had an error in the proof he presented.,1,0.45360824742268047,1,1
1901,John had an error in the proof he presented.,1,John had an error in the proof Sarah presented.,0,0.945054945054945,0,1
1902,John had an error in the proof Sarah presented.,0,Fred had a snake behind the car Joe was sitting in.,1,0.4897959183673469,0,1
1903,Fred had a snake behind the car Joe was sitting in.,1,Fred had a snake behind the car he was sitting in.,1,0.9702970297029703,1,1
1904,Fred had a snake behind the car he was sitting in.,1,There was a yellow collar on the dog which the car injured.,1,0.45871559633027525,1,1
1905,There was a yellow collar on the dog which the car injured.,1,There was a snake behind the car the time bomb was sitting in.,1,0.5123966942148761,1,1
1906,There was a snake behind the car the time bomb was sitting in.,1,The car had a yellow collar on the dog which it injured.,0,0.5084745762711864,0,1
1907,The car had a yellow collar on the dog which it injured.,0,That stone has a hole in the tarpaulin which it is holding down.,0,0.5333333333333333,1,1
1908,That stone has a hole in the tarpaulin which it is holding down.,0,The time bomb had a snake behind the car which it was sitting in.,0,0.6201550387596899,1,1
1909,The time bomb had a snake behind the car which it was sitting in.,0,There were several hundred people yelling for me to put down gently.,1,0.39097744360902253,0,1
1910,There were several hundred people yelling for me to put down gently.,1,The hot potato which there were several hundred people yelling for me to put down gently turned out to have been filled with TNT.,1,0.6903553299492386,1,1
1911,The hot potato which there were several hundred people yelling for me to put down gently turned out to have been filled with TNT.,1,The hot potato had several hundred people yelling for me to put it down gently.,0,0.7115384615384616,0,1
1912,The hot potato had several hundred people yelling for me to put it down gently.,0,Bartlett and Toni danced.,1,0.3076923076923077,0,1
1913,Bartlett and Toni danced.,1,Bartlett danced with Toni.,1,0.7058823529411764,1,1
1914,Bartlett danced with Toni.,1,Bartlett and danced Toni.,0,0.8235294117647058,0,1
1915,Bartlett and danced Toni.,0,And Toni danced Bartlett.,0,0.43999999999999995,1,1
1916,And Toni danced Bartlett.,0,It bothers me for her to wear that old fedora.,1,0.3098591549295775,0,1
1917,It bothers me for her to wear that old fedora.,1,The only girl for whom it bothers me to wear that old fedora is Annabelle.,0,0.6166666666666667,0,1
1918,The only girl for whom it bothers me to wear that old fedora is Annabelle.,0,The only girl who it bothers me to wear that old fedora is Annabelle.,0,0.965034965034965,1,1
1919,The only girl who it bothers me to wear that old fedora is Annabelle.,0,I would prefer it for there to be no talking.,1,0.4736842105263158,0,1
1920,I would prefer it for there to be no talking.,1,He gave my binoculars to that girl.,1,0.375,1,1
1921,He gave my binoculars to that girl.,1,He gave that girl my binoculars.,1,0.6567164179104478,1,0
1922,He gave that girl my binoculars.,1,Which girl did he give my binoculars to?,1,0.5833333333333333,1,1
1923,Which girl did he give my binoculars to?,1,Which girl did he give my binoculars?,0,0.961038961038961,0,1
1924,Which girl did he give my binoculars?,0,My binoculars were given to that girl by him.,1,0.36585365853658536,0,1
1925,My binoculars were given to that girl by him.,1,Bill confirmed that Roger has eaten the cake.,1,0.37777777777777777,1,1
1926,Bill confirmed that Roger has eaten the cake.,1,Bill alleged that Roger had eaten the cake.,1,0.8409090909090909,1,1
1927,Bill alleged that Roger had eaten the cake.,1,Bill alleged that Roger has eaten the cake.,1,0.9767441860465116,1,1
1928,Bill alleged that Roger has eaten the cake.,1,What did Bill confirm that Roger had eaten?,0,0.5813953488372092,0,1
1929,What did Bill confirm that Roger had eaten?,0,What did Bill allege that Roger had eaten?,1,0.8470588235294118,0,1
1930,What did Bill allege that Roger had eaten?,1,Bill didn't confirm that Roger had eaten anything.,0,0.5869565217391304,0,1
1931,Bill didn't confirm that Roger had eaten anything.,0,Waldo didn't report the possibility that anyone had left.,0,0.5046728971962617,1,1
1932,Waldo didn't report the possibility that anyone had left.,0,Waldo didn't report that anyone had left.,1,0.8367346938775511,0,0
1933,Waldo didn't report that anyone had left.,1,Anybody who ever swears at me better watch his step.,1,0.3655913978494624,1,1
1934,Anybody who ever swears at me better watch his step.,1,I want all the students who have ever tried to pat Fido to show me their scars.,1,0.4122137404580153,1,1
1935,I want all the students who have ever tried to pat Fido to show me their scars.,1,Only the travelers who anybody has ever robbed don't carry machetes.,0,0.5170068027210885,0,1
1936,Only the travelers who anybody has ever robbed don't carry machetes.,0,The only travelers who anybody has ever robbed don't carry machetes.,1,0.9264705882352942,0,1
1937,The only travelers who anybody has ever robbed don't carry machetes.,1,I can't remember the name of somebody who had any misgivings.,0,0.41860465116279066,0,1
1938,I can't remember the name of somebody who had any misgivings.,0,I can't remember the name of anybody who had any misgivings.,1,0.9421487603305785,0,1
1939,I can't remember the name of anybody who had any misgivings.,1,"Everybody who has ever, worked in any office which contained any typewriter which had ever been used to type any letters which had to be signed by any administrator who ever worked in any department like mine will know what I mean.",1,0.27491408934707906,1,1
1940,"Everybody who has ever, worked in any office which contained any typewriter which had ever been used to type any letters which had to be signed by any administrator who ever worked in any department like mine will know what I mean.",1,No student who ever goes to Europe ever has enough money.,1,0.2847222222222222,1,1
1941,No student who ever goes to Europe ever has enough money.,1,Every student who ever goes to Europe ever has enough money.,0,0.9401709401709402,0,1
1942,Every student who ever goes to Europe ever has enough money.,0,I didn't eat the ice cream and any cake.,0,0.38,1,1
1943,I didn't eat the ice cream and any cake.,0,I realized that it had rained and some crops had been destroyed.,1,0.46153846153846156,0,1
1944,I realized that it had rained and some crops had been destroyed.,1,I didn't realize that it had rained and some crops had been destroyed.,1,0.9402985074626866,1,1
1945,I didn't realize that it had rained and some crops had been destroyed.,1,I didn't eat any ice cream or any cake.,1,0.5137614678899083,1,1
1946,I didn't eat any ice cream or any cake.,1,I didn't eat any ice cream and any cake.,0,0.9367088607594937,0,1
1947,I didn't eat any ice cream and any cake.,0,I didn't eat the cake or any ice cream.,0,0.6835443037974683,1,1
1948,I didn't eat the cake or any ice cream.,0,I didn't eat any ice cream or Mary's cake.,0,0.6666666666666667,1,1
1949,I didn't eat any ice cream or Mary's cake.,0,I didn't eat any ice cream or the cake.,0,0.8888888888888888,1,1
1950,I didn't eat any ice cream or the cake.,0,John and Mary met in Vienna.,1,0.3880597014925373,0,1
1951,John and Mary met in Vienna.,1,John met Mary in Vienna.,1,0.8076923076923077,1,0
1952,John met Mary in Vienna.,1,Few writers and any playwrights meet in Vienna.,0,0.45070422535211263,0,1
1953,Few writers and any playwrights meet in Vienna.,0,Few writers meet any playwrights in Vienna.,1,0.8666666666666667,0,0
1954,Few writers meet any playwrights in Vienna.,1,My brother and few Americans meet in Vienna.,0,0.5517241379310345,0,1
1955,My brother and few Americans meet in Vienna.,0,My brother meets few Americans in Vienna.,1,0.8470588235294118,0,1
1956,My brother meets few Americans in Vienna.,1,"No writer, and no playwright, speaks clearly.",1,0.37209302325581395,1,1
1957,"No writer, and no playwright, speaks clearly.",1,"No writer, nor any playwright, speaks clearly.",1,0.9230769230769231,1,1
1958,"No writer, nor any playwright, speaks clearly.",1,Bill understands Mary and himself.,0,0.375,0,1
1959,Bill understands Mary and himself.,0,Bill understands himself and Mary.,0,0.7352941176470589,1,0
1960,Bill understands himself and Mary.,0,Bill and Mary washed himself.,0,0.6031746031746033,1,1
1961,Bill and Mary washed himself.,0,Andy pinched Sarah and tickled herself.,0,0.5,1,1
1962,Andy pinched Sarah and tickled herself.,0,The gun and a description of itself lay on the bureau.,0,0.3870967741935484,1,1
1963,The gun and a description of itself lay on the bureau.,0,Bill believes that Anna and he are similar.,1,0.35051546391752575,0,1
1964,Bill believes that Anna and he are similar.,1,Bill believes Anna and him to be similar.,1,0.8333333333333334,1,1
1965,Bill believes Anna and him to be similar.,1,Bill believes Anna and himself to be similar.,0,0.9534883720930233,0,1
1966,Bill believes Anna and himself to be similar.,0,I deny that that Bob has any money is certain.,0,0.3516483516483516,1,1
1967,I deny that that Bob has any money is certain.,0,I deny that it is certain that Bob has any money.,1,0.736842105263158,0,0
1968,I deny that it is certain that Bob has any money.,1,I deny that that Bob has some money is certain.,0,0.6666666666666667,0,1
1969,I deny that that Bob has some money is certain.,0,Tom will not force you to marry any student.,1,0.37362637362637363,0,1
1970,Tom will not force you to marry any student.,1,Tom will force you to marry no student.,1,0.9156626506024097,1,1
1971,Tom will force you to marry no student.,1,The writers of any of the reports didn't know the answer.,0,0.45833333333333337,0,1
1972,The writers of any of the reports didn't know the answer.,0,The writers of none of the reports.,1,0.6956521739130435,0,1
1973,The writers of none of the reports.,1,"Tom will force you to marry no student, and neither will I.",1,0.3829787234042553,1,1
1974,"Tom will force you to marry no student, and neither will I.",1,It is not certain that you'll marry any student.,1,0.5046728971962617,1,1
1975,It is not certain that you'll marry any student.,1,It is not certain that you'll marry any particular student.,1,0.897196261682243,1,0
1976,It is not certain that you'll marry any particular student.,1,It is certain that you'll marry no student.,1,0.8235294117647058,1,1
1977,It is certain that you'll marry no student.,1,That you will marry any particular student is not certain.,1,0.5148514851485149,1,1
1978,That you will marry any particular student is not certain.,1,The man who I gave John a picture of was bald.,1,0.42307692307692313,1,1
1979,The man who I gave John a picture of was bald.,1,The man who I gave John this picture of was bald.,0,0.9473684210526316,0,1
1980,The man who I gave John this picture of was bald.,0,The man who I gave John Ed's picture of was bald.,0,0.9387755102040817,1,1
1981,The man who I gave John Ed's picture of was bald.,0,I gave Jack a picture of myself.,1,0.5925925925925926,0,1
1982,I gave Jack a picture of myself.,1,I gave Jack Ed's picture of myself.,0,0.9253731343283582,0,1
1983,I gave Jack Ed's picture of myself.,0,I didn't give Jack a picture of anybody.,1,0.6666666666666667,0,1
1984,I didn't give Jack a picture of anybody.,1,I didn't give Jack this picture of anybody.,0,0.9397590361445783,0,1
1985,I didn't give Jack this picture of anybody.,0,I hope I'm not treading on anyone's toes.,1,0.4285714285714286,0,1
1986,I hope I'm not treading on anyone's toes.,1,Abernathy admitted that the poison pen letter had been written by my sister and him.,1,0.31999999999999995,1,1
1987,Abernathy admitted that the poison pen letter had been written by my sister and him.,1,Abernathy admitted that the poison pen letter had been written by my sister and himself.,1,0.9767441860465116,1,1
1988,Abernathy admitted that the poison pen letter had been written by my sister and himself.,1,That the sun was out is obvious.,1,0.35,1,1
1989,That the sun was out is obvious.,1,That anybody ever left at all is not known.,1,0.45333333333333337,1,1
1990,That anybody ever left at all is not known.,1,That anybody ever left at all is not certain.,1,0.8863636363636364,1,1
1991,That anybody ever left at all is not certain.,1,That anybody ever left at all is impossible.,1,0.8089887640449438,1,1
1992,That anybody ever left at all is impossible.,1,That anybody ever left at all is surprises me.,1,0.8444444444444444,1,1
1993,That anybody ever left at all is surprises me.,1,"Tonight, what Bob cooked yesterday still tastes good.",1,0.4444444444444444,1,1
1994,"Tonight, what Bob cooked yesterday still tastes good.",1,"Tonight, what Bob cooked yesterday still tastes good, so tonight, what Bob cooked yesterday will be eaten up.",1,0.654320987654321,1,1
1995,"Tonight, what Bob cooked yesterday still tastes good, so tonight, what Bob cooked yesterday will be eaten up.",1,"Tonight, what Bob cooked yesterday still tastes good, so tonight it will be eaten up.",1,0.865979381443299,1,1
1996,"Tonight, what Bob cooked yesterday still tastes good, so tonight it will be eaten up.",1,Martha gave Myrna an apple.,1,0.2857142857142857,1,1
1997,Martha gave Myrna an apple.,1,Leigh threw the ball to Lane.,1,0.3928571428571429,1,1
1998,Leigh threw the ball to Lane.,1,Leigh threw Lane the ball.,1,0.7636363636363637,1,0
1999,Leigh threw Lane the ball.,1,The noise gave Terry a headache.,1,0.4137931034482759,1,1
2000,The noise gave Terry a headache.,1,The noise gave a headache to Terry.,0,0.7761194029850746,0,0
2001,The noise gave a headache to Terry.,0,Jill threw the ball from home plate to third base.,1,0.42352941176470593,0,1
2002,Jill threw the ball from home plate to third base.,1,Jill kicked the ball from home plate to third base.,1,0.9108910891089109,1,1
2003,Jill kicked the ball from home plate to third base.,1,I sent the bicycle from my house at the beach to my house in the mountains.,1,0.5079365079365079,1,1
2004,I sent the bicycle from my house at the beach to my house in the mountains.,1,I shipped the bicycle from my house at the beach to my house in the mountains.,1,0.954248366013072,1,1
2005,I shipped the bicycle from my house at the beach to my house in the mountains.,1,Fred threw the ball under the porch.,1,0.42105263157894735,1,1
2006,Fred threw the ball under the porch.,1,Fred threw the ball behind the tree.,1,0.8055555555555556,1,1
2007,Fred threw the ball behind the tree.,1,Fred threw the ball over the fence.,1,0.8169014084507042,1,1
2008,Fred threw the ball over the fence.,1,Fred kicked the ball under the porch.,1,0.6944444444444444,1,1
2009,Fred kicked the ball under the porch.,1,Fred kicked the ball behind the tree.,1,0.8108108108108107,1,1
2010,Fred kicked the ball behind the tree.,1,Fred kicked the ball over the fence.,1,0.821917808219178,1,1
2011,Fred kicked the ball over the fence.,1,Felicia threw the ball off the bench.,1,0.6849315068493151,1,1
2012,Felicia threw the ball off the bench.,1,Felicia threw the ball out the window.,1,0.8266666666666667,1,1
2013,Felicia threw the ball out the window.,1,Felicia kicked the ball out the window.,1,0.8831168831168831,1,1
2014,Felicia kicked the ball out the window.,1,Felicia sent the box off the shelf.,0,0.6216216216216216,0,1
2015,Felicia sent the box off the shelf.,0,Felicia sent the box out of the storeroom.,0,0.8051948051948052,1,1
2016,Felicia sent the box out of the storeroom.,0,Felicia shipped the box off the shelf.,0,0.725,1,1
2017,Felicia shipped the box off the shelf.,0,Felicia shipped the box out of the storeroom.,0,0.8192771084337349,1,1
2018,Felicia shipped the box out of the storeroom.,0,Jake sent the box at Carson.,0,0.4931506849315068,1,1
2019,Jake sent the box at Carson.,0,Jake sent the box towards Carson.,0,0.8852459016393442,1,1
2020,Jake sent the box towards Carson.,0,Jake shipped the box at Carson.,0,0.78125,1,1
2021,Jake shipped the box at Carson.,0,Jake shipped the box towards Carson.,0,0.8955223880597015,1,1
2022,Jake shipped the box towards Carson.,0,Anne is curious as to why her father sent her a telegram to America to return home at once.,1,0.31496062992125984,0,1
2023,Anne is curious as to why her father sent her a telegram to America to return home at once.,1,Where did you give the ball?,0,0.25210084033613445,0,1
2024,Where did you give the ball?,0,Where did you throw the ball? To third base.,1,0.6666666666666667,0,1
2025,Where did you throw the ball? To third base.,1,Where did you send the bicycle? To Rome.,1,0.6666666666666667,1,1
2026,Where did you send the bicycle? To Rome.,1,I gave the package to Maria.,1,0.38235294117647056,1,1
2027,I gave the package to Maria.,1,I gave the package to London.,0,0.8070175438596492,0,1
2028,I gave the package to London.,0,I sent the package to London.,1,0.896551724137931,0,1
2029,I sent the package to London.,1,I threw the ball to Maria.,1,0.509090909090909,1,1
2030,I threw the ball to Maria.,1,I threw the ball to the other side of the field.,1,0.6216216216216216,1,1
2031,I threw the ball to the other side of the field.,1,Susan gave the ball halfway to Bill.,0,0.47619047619047616,0,1
2032,Susan gave the ball halfway to Bill.,0,Susan gave the ball all the way to Bill.,0,0.8947368421052632,1,1
2033,Susan gave the ball all the way to Bill.,0,Jake threw the ball all the way to Bill.,1,0.825,0,1
2034,Jake threw the ball all the way to Bill.,1,Jake threw the ball halfway to Bill.,1,0.8947368421052632,1,1
2035,Jake threw the ball halfway to Bill.,1,Jake kicked the ball all the way to Bill.,1,0.7792207792207793,1,1
2036,Jake kicked the ball all the way to Bill.,1,Jake kicked the ball halfway to Bill.,1,0.8974358974358975,1,1
2037,Jake kicked the ball halfway to Bill.,1,I sent the package all the way around the world.,1,0.47058823529411764,1,1
2038,I sent the package all the way around the world.,1,I sent the package to the Antarctic.,1,0.6666666666666667,1,1
2039,I sent the package to the Antarctic.,1,I shipped the package halfway around the world.,1,0.6024096385542168,1,1
2040,I shipped the package halfway around the world.,1,I shipped the package all the way around the world.,1,0.9183673469387755,1,1
2041,I shipped the package all the way around the world.,1,I shipped the package halfway to the Antarctic.,1,0.7346938775510203,1,1
2042,I shipped the package halfway to the Antarctic.,1,Fred gave the ball under Molly.,0,0.33333333333333337,0,1
2043,Fred gave the ball under Molly.,0,Fred gave the ball behind Molly.,0,0.8888888888888888,1,1
2044,Fred gave the ball behind Molly.,0,Fred gave the ball over Molly.,0,0.8709677419354839,1,1
2045,Fred gave the ball over Molly.,0,Fred offered the ball under Molly.,0,0.78125,1,1
2046,Fred offered the ball under Molly.,0,Fred offered the ball over Molly.,0,0.9253731343283582,1,1
2047,Fred offered the ball over Molly.,0,Sam gave the ball off the shelf.,0,0.523076923076923,1,1
2048,Sam gave the ball off the shelf.,0,Sam offered the ball off the shelf.,0,0.8656716417910448,1,1
2049,Sam offered the ball off the shelf.,0,Jill gave the ball at Bob.,0,0.4918032786885246,1,1
2050,Jill gave the ball at Bob.,0,Jill gave the ball towards Bob.,0,0.8771929824561404,1,1
2051,Jill gave the ball towards Bob.,0,Jill offered the ball at Bob.,0,0.7333333333333334,1,1
2052,Jill offered the ball at Bob.,0,Jill offered the ball towards Bob.,0,0.8888888888888888,1,1
2053,Jill offered the ball towards Bob.,0,Give a fresh coat of paint to the front door.,1,0.40506329113924056,0,1
2054,Give a fresh coat of paint to the front door.,1,"One of the Jewish children is a spunky girl, who gave a black eye to the kid with the German roots before the start of the war.",1,0.33720930232558144,1,1
2055,"One of the Jewish children is a spunky girl, who gave a black eye to the kid with the German roots before the start of the war.",1,The door has a fresh coat of paint.,1,0.2962962962962963,1,1
2056,The door has a fresh coat of paint.,1,The spunky girl has a black eye.,1,0.4477611940298507,1,1
2057,The spunky girl has a black eye.,1,I promise a good time to all who come.,1,0.34285714285714286,1,1
2058,I promise a good time to all who come.,1,All who come will have a good time.,1,0.4931506849315068,1,1
2059,All who come will have a good time.,1,He died from exhaustion.,1,0.3389830508474576,1,1
2060,He died from exhaustion.,1,The water melted into ice.,1,0.4,1,1
2061,The water melted into ice.,1,The water melted to ice.,1,0.96,1,1
2062,The water melted to ice.,1,A hefty sum of money came to him from his grandfather.,1,0.3589743589743589,1,1
2063,A hefty sum of money came to him from his grandfather.,1,The close brush with the law put the fear of god in him.,1,0.4181818181818182,1,1
2064,The close brush with the law put the fear of god in him.,1,She fell in love.,1,0.273972602739726,1,1
2065,She fell in love.,1,She fell into a sulk.,1,0.736842105263158,1,1
2066,She fell into a sulk.,1,She fell into a funk.,1,0.9047619047619048,1,1
2067,She fell into a funk.,1,To whom did you give the ball?,1,0.27450980392156865,1,1
2068,To whom did you give the ball?,1,To whom did you throw the ball?,1,0.8524590163934427,1,1
2069,To whom did you throw the ball?,1,Where did you throw the ball?,1,0.8333333333333334,1,1
2070,Where did you throw the ball?,1,To whom did you send the package?,1,0.5483870967741935,1,1
2071,To whom did you send the package?,1,Where did you send the package?,1,0.84375,1,1
2072,Where did you send the package?,1,Smith threw the ball to the first baseman.,1,0.3561643835616438,1,1
2073,Smith threw the ball to the first baseman.,1,Smith threw the first baseman the ball.,1,0.7407407407407407,1,0
2074,Smith threw the first baseman the ball.,1,Smith threw the first base the ball.,0,0.96,0,1
2075,Smith threw the first base the ball.,0,Smith envied Jones his good fortune.,1,0.4722222222222222,0,1
2076,Smith envied Jones his good fortune.,1,Smith envied his good fortune to Jones.,0,0.8,0,0
2077,Smith envied his good fortune to Jones.,0,No one can forgive you that comment.,1,0.4,0,1
2078,No one can forgive you that comment.,1,The recession cost my grandfather a raise.,1,0.3846153846153846,1,1
2079,The recession cost my grandfather a raise.,1,Mary taught John linguistics.,1,0.2816901408450704,1,1
2080,Mary taught John linguistics.,1,Mary taught linguistics to John.,1,0.7868852459016393,1,0
2081,Mary taught linguistics to John.,1,"I threw the ball to Julian, but it fell short of him.",1,0.42352941176470593,1,1
2082,"I threw the ball to Julian, but it fell short of him.",1,"Max offered the victims help, but they refused his offer.",1,0.49090909090909096,1,1
2083,"Max offered the victims help, but they refused his offer.",1,"Max offered help to the victims, but they refused his offer.",1,0.8888888888888888,1,1
2084,"Max offered help to the victims, but they refused his offer.",1,"Sarah promised her old car to Catherine, but then gave it to her son instead.",1,0.5109489051094891,1,1
2085,"Sarah promised her old car to Catherine, but then gave it to her son instead.",1,"I taught them English for an entire year, but they don't seem to have learned.",1,0.5032258064516129,1,1
2086,"I taught them English for an entire year, but they don't seem to have learned.",1,"I read him the figures, but when I looked up, he was gone.",1,0.4852941176470589,1,1
2087,"I read him the figures, but when I looked up, he was gone.",1,I throw you a lifeline and you giggle.,1,0.375,1,1
2088,I throw you a lifeline and you giggle.,1,"I kicked him the ball, but the wind blew it astray.",1,0.3595505617977528,1,1
2089,"I kicked him the ball, but the wind blew it astray.",1,"I threw Mary the ball, but she was looking at the birds flying overhead and didn't even notice.",1,0.4794520547945206,1,1
2090,"I threw Mary the ball, but she was looking at the birds flying overhead and didn't even notice.",1,"I threw the ball to Mary, but she was looking at the birds flying overhead and didn't even notice.",1,0.9326424870466321,1,1
2091,"I threw the ball to Mary, but she was looking at the birds flying overhead and didn't even notice.",1,"Lewis shipped Sam a bicycle, but it never arrived.",1,0.3918918918918919,1,1
2092,"Lewis shipped Sam a bicycle, but it never arrived.",1,"Lewis sent Sam a bicycle, but it never arrived.",1,0.9278350515463918,1,1
2093,"Lewis sent Sam a bicycle, but it never arrived.",1,"The police read the detainees' rights to them, but not a single one was paying attention.",1,0.38235294117647056,1,1
2094,"The police read the detainees' rights to them, but not a single one was paying attention.",1,"I wrote a letter to Blair, but I tore it up before I sent it.",1,0.45333333333333337,1,1
2095,"I wrote a letter to Blair, but I tore it up before I sent it.",1,"The police read the detainees their rights, but not a single one was paying attention.",1,0.44897959183673475,1,1
2096,"The police read the detainees their rights, but not a single one was paying attention.",1,"I wrote Blair a letter, but I tore it up before I sent it.",1,0.4444444444444444,1,1
2097,"I wrote Blair a letter, but I tore it up before I sent it.",1,"Ann copied the manuscript, but she didn't finish it.",1,0.4545454545454546,1,1
2098,"Ann copied the manuscript, but she didn't finish it.",1,Alex read the newspaper for an hour.,1,0.40909090909090906,1,1
2099,Alex read the newspaper for an hour.,1,Alex read the newspaper in an hour.,1,0.9295774647887324,1,1
2100,Alex read the newspaper in an hour.,1,I lent the book halfway to Tony.,0,0.3880597014925373,0,1
2101,I lent the book halfway to Tony.,0,I lent the book all the way to Tony.,0,0.8823529411764706,1,1
2102,I lent the book all the way to Tony.,0,I lent the book most of the way to Tony.,0,0.868421052631579,1,1
2103,I lent the book most of the way to Tony.,0,I lent Tony the book partway.,0,0.6086956521739131,1,1
2104,I lent Tony the book partway.,0,I lent Tony the book halfway.,0,0.896551724137931,1,1
2105,I lent Tony the book halfway.,0,I lent Tony the book all the way.,0,0.8709677419354839,1,1
2106,I lent Tony the book all the way.,0,I lent Tony the book most of the way.,0,0.8571428571428572,1,1
2107,I lent Tony the book most of the way.,0,Robin arrived partway at the station.,0,0.3783783783783784,1,1
2108,Robin arrived partway at the station.,0,Robin arrived all the way at the station.,0,0.8974358974358975,1,1
2109,Robin arrived all the way at the station.,0,Robin arrived most of the way at the station.,0,0.8837209302325582,1,1
2110,Robin arrived most of the way at the station.,0,The old dog died partway.,0,0.34285714285714286,1,1
2111,The old dog died partway.,0,The old dog died halfway.,0,0.88,1,1
2112,The old dog died halfway.,0,The old dog died all the way.,0,0.8518518518518519,1,1
2113,The old dog died all the way.,0,"Sandy taught the children the alphabet, but only got as far as the letter `` r ''.",1,0.3063063063063063,0,1
2114,"Sandy taught the children the alphabet, but only got as far as the letter `` r ''.",1,"Maxine read the children Goodnight Moon, but they fell asleep before she got to the end.",1,0.5176470588235293,1,1
2115,"Maxine read the children Goodnight Moon, but they fell asleep before she got to the end.",1,Interviewing Richard Nixon gave Norman Mailer a book.,1,0.35460992907801414,1,1
2116,Interviewing Richard Nixon gave Norman Mailer a book.,1,Nixon's behavior gave Mailer an idea for a book.,1,0.5544554455445545,1,1
2117,Nixon's behavior gave Mailer an idea for a book.,1,Nixon's behavior gave an idea for a book to every journalist living in New York City in the 1970s.,1,0.5616438356164384,1,1
2118,Nixon's behavior gave an idea for a book to every journalist living in New York City in the 1970s.,1,We gave a fresh coat of paint to the house.,1,0.4113475177304965,1,1
2119,We gave a fresh coat of paint to the house.,1,The five `` soundscape '' pieces gave a festive air to Park Square.,1,0.4363636363636364,1,1
